;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
UF;Rodovia;km inicial;km final;Extensão (km);Data;Latitude;Longitude;ICMNP;
AM;BR-230;709,000;710,000;1,000;03/07/2023;-7,5058364;-63,0209514;46,250;
AM;BR-230;710,000;711,000;1,000;03/07/2023;-7,5058364;-63,0209514;46,250;
AM;BR-230;711,000;712,000;1,000;03/07/2023;-7,5058364;-63,0209514;45,000;
AM;BR-230;712,000;713,000;1,000;03/07/2023;-7,5058364;-63,0209514;46,250;
AM;BR-230;713,000;714,000;1,000;03/07/2023;-7,5058364;-63,0209514;26,250;
AM;BR-230;714,000;715,000;1,000;03/07/2023;-7,5058364;-63,0209514;26,250;
AM;BR-230;715,000;716,000;1,000;03/07/2023;-7,5058364;-63,0209514;26,250;
AM;BR-230;716,000;717,000;1,000;03/07/2023;-7,5058364;-63,0209514;18,750;
AM;BR-230;717,000;718,000;1,000;03/07/2023;-7,5058364;-63,0209514;18,750;
AM;BR-230;718,000;719,000;1,000;03/07/2023;-7,5058364;-63,0209514;46,250;
AM;BR-230;719,000;720,000;1,000;03/07/2023;-7,5058364;-63,0209514;28,750;
AM;BR-230;720,000;721,000;1,000;03/07/2023;-7,5058364;-63,0209514;58,750;
AM;BR-230;721,000;722,000;1,000;03/07/2023;-7,5058364;-63,0209514;71,250;
AM;BR-230;722,000;723,000;1,000;03/07/2023;-7,5058364;-63,0209514;65,000;
AM;BR-230;723,000;724,000;1,000;03/07/2023;-7,5058364;-63,0209514;71,250;
AM;BR-230;724,000;725,000;1,000;03/07/2023;-7,5058364;-63,0209514;68,750;
AM;BR-230;725,000;726,000;1,000;03/07/2023;-7,5058364;-63,0209514;71,250;
AM;BR-230;726,000;727,000;1,000;03/07/2023;-7,5058364;-63,0209514;68,750;
AM;BR-230;727,000;728,000;1,000;03/07/2023;-7,5058364;-63,0209514;68,750;
AM;BR-230;728,000;729,000;1,000;03/07/2023;-7,5058364;-63,0209514;77,500;
AM;BR-230;729,000;730,000;1,000;03/07/2023;-7,5058364;-63,0209514;75,000;
AM;BR-230;730,000;731,000;1,000;03/07/2023;-7,5058364;-63,0209514;75,000;
AM;BR-230;731,000;732,000;1,000;03/07/2023;-7,5058364;-63,0209514;58,750;
AM;BR-230;732,000;733,200;1,200;03/07/2023;-7,5058364;-63,0209514;62,500;
AM;BR-230;733,200;734,000;0,800;03/07/2023;-7,5058364;-63,0209514;45,000;
AM;BR-230;734,000;735,000;1,000;03/07/2023;-7,5058364;-63,0209514;70,000;
AM;BR-230;735,000;736,000;1,000;03/07/2023;-7,5058364;-63,0209514;76,250;
AM;BR-230;736,000;737,000;1,000;03/07/2023;-7,5058364;-63,0209514;70,000;
AM;BR-230;737,000;738,000;1,000;03/07/2023;-7,5058364;-63,0209514;73,750;
AM;BR-230;738,000;739,000;1,000;03/07/2023;-7,5058364;-63,0209514;73,750;
AM;BR-230;739,000;740,000;1,000;03/07/2023;-7,5058364;-63,0209514;67,500;
AM;BR-230;740,000;741,000;1,000;03/07/2023;-7,5058364;-63,0209514;61,250;
AM;BR-230;741,000;742,000;1,000;03/07/2023;-7,5058364;-63,0209514;45,000;
AM;BR-230;742,000;743,000;1,000;03/07/2023;-7,5058364;-63,0209514;45,000;
AM;BR-230;743,000;744,000;1,000;03/07/2023;-7,5058364;-63,0209514;75,000;
AM;BR-230;744,000;745,000;1,000;03/07/2023;-7,5058364;-63,0209514;62,500;
AM;BR-230;745,000;746,000;1,000;03/07/2023;-7,5058364;-63,0209514;62,500;
AM;BR-230;746,000;747,000;1,000;03/07/2023;-7,5058364;-63,0209514;18,750;
AM;BR-230;747,000;748,000;1,000;03/07/2023;-7,5058364;-63,0209514;18,750;
AM;BR-230;748,000;749,000;1,000;03/07/2023;-7,5058364;-63,0209514;58,750;
AM;BR-230;749,000;750,000;1,000;03/07/2023;-7,5058364;-63,0209514;46,250;
AM;BR-230;750,000;751,000;1,000;03/07/2023;-7,5058364;-63,0209514;50,000;
AM;BR-230;751,000;752,000;1,000;03/07/2023;-7,5058364;-63,0209514;62,500;
AM;BR-230;752,000;753,000;1,000;03/07/2023;-7,5058364;-63,0209514;50,000;
AM;BR-230;753,000;754,000;1,000;03/07/2023;-7,46321686;-64,2386475;56,250;
AM;BR-230;754,000;755,000;1,000;03/07/2023;-7,46490871;-64,2423603;46,250;
AM;BR-230;755,000;756,000;1,000;03/07/2023;-7,46490871;-64,2423603;46,250;
AM;BR-230;756,000;757,000;1,000;03/07/2023;-7,46490871;-64,2423603;38,750;
AM;BR-230;757,000;758,000;1,000;03/07/2023;-7,46490871;-64,2423603;58,750;
AM;BR-230;758,000;759,000;1,000;03/07/2023;-7,46490871;-64,2423603;38,750;
AM;BR-230;759,000;760,000;1,000;03/07/2023;-7,46490871;-64,2423603;46,250;
AM;BR-230;760,000;761,000;1,000;03/07/2023;-7,46490871;-64,2423603;46,250;
AM;BR-230;761,000;762,000;1,000;03/07/2023;-7,46490871;-64,2423603;46,250;
AM;BR-230;762,000;763,000;1,000;03/07/2023;-7,46490871;-64,2423603;58,750;
AM;BR-230;763,000;764,000;1,000;03/07/2023;-7,46490871;-64,2423603;46,250;
AM;BR-230;764,000;765,000;1,000;03/07/2023;-7,46490871;-64,2423603;46,250;
AM;BR-230;765,000;766,000;1,000;03/07/2023;-7,46490871;-64,2423603;46,250;
AM;BR-230;766,000;767,000;1,000;03/07/2023;-7,46490871;-64,2423603;46,250;
AM;BR-230;767,000;768,000;1,000;03/07/2023;-7,46490871;-64,2423603;58,750;
AM;BR-230;768,000;769,000;1,000;03/07/2023;-7,46490871;-64,2423603;58,750;
AM;BR-230;769,000;770,000;1,000;03/07/2023;-7,46490871;-64,2423603;58,750;
AM;BR-230;770,000;771,000;1,000;03/07/2023;-7,46490871;-64,2423603;58,750;
AM;BR-230;771,000;772,000;1,000;03/07/2023;-7,46490871;-64,2423603;46,250;
AM;BR-230;772,000;773,000;1,000;03/07/2023;-7,46490871;-64,2423603;58,750;
AM;BR-230;773,000;774,000;1,000;03/07/2023;-7,46490871;-64,2423603;58,750;
AM;BR-230;774,000;775,000;1,000;03/07/2023;-7,46490871;-64,2423603;58,750;
AM;BR-230;775,000;776,000;1,000;03/07/2023;-7,46490871;-64,2423603;56,250;
AM;BR-230;776,000;777,000;1,000;03/07/2023;-7,46490871;-64,2423603;58,750;
AM;BR-230;777,000;778,000;1,000;03/07/2023;-7,46490871;-64,2423603;46,250;
AM;BR-230;778,000;779,000;1,000;03/07/2023;-7,46490871;-64,2423603;62,500;
AM;BR-230;779,000;780,000;1,000;03/07/2023;-7,46490871;-64,2423603;62,500;
AM;BR-230;780,000;781,000;1,000;03/07/2023;-7,46490871;-64,2423603;50,000;
AM;BR-230;781,000;782,000;1,000;03/07/2023;-7,46490871;-64,2423603;62,500;
AM;BR-230;782,000;783,000;1,000;03/07/2023;-7,46490871;-64,2423603;62,500;
AM;BR-230;783,000;784,000;1,000;03/07/2023;-7,46490871;-64,2423603;62,500;
AM;BR-230;784,000;785,000;1,000;03/07/2023;-7,46490871;-64,2423603;62,500;
AM;BR-230;785,000;786,000;1,000;03/07/2023;-7,46490871;-64,2423603;62,500;
AM;BR-230;786,000;787,000;1,000;03/07/2023;-7,46490871;-64,2423603;62,500;
AM;BR-230;787,000;788,000;1,000;03/07/2023;-7,46490871;-64,2423603;62,500;
AM;BR-230;788,000;789,000;1,000;03/07/2023;-7,46490871;-64,2423603;62,500;
AM;BR-230;789,000;790,000;1,000;03/07/2023;-7,46490871;-64,2423603;62,500;
AM;BR-230;790,000;791,000;1,000;03/07/2023;-7,46490871;-64,2423603;62,500;
AM;BR-230;791,000;792,000;1,000;03/07/2023;-7,46490871;-64,2423603;62,500;
AM;BR-230;792,000;793,000;1,000;03/07/2023;-7,46490871;-64,2423603;62,500;
AM;BR-230;793,000;794,000;1,000;03/07/2023;-7,46490871;-64,2423603;50,000;
AM;BR-230;794,000;795,000;1,000;03/07/2023;-7,46490871;-64,2423603;62,500;
AM;BR-230;795,000;796,000;1,000;03/07/2023;-7,46490871;-64,2423603;62,500;
AM;BR-230;796,000;797,000;1,000;03/07/2023;-7,46490871;-64,2423603;62,500;
AM;BR-230;797,000;798,000;1,000;03/07/2023;-7,46490871;-64,2423603;40,000;
AM;BR-230;798,000;799,000;1,000;03/07/2023;-7,46490871;-64,2423603;50,000;
AM;BR-230;799,000;800,000;1,000;03/07/2023;-7,46490871;-64,2423603;58,750;
AM;BR-230;800,000;801,000;1,000;03/07/2023;-7,46490871;-64,2423603;56,250;
AM;BR-230;801,000;802,000;1,000;03/07/2023;-7,46490871;-64,2423603;46,250;
AM;BR-230;802,000;803,000;1,000;03/07/2023;-7,46490871;-64,2423603;42,500;
AM;BR-230;803,000;804,000;1,000;03/07/2023;-7,46490871;-64,2423603;38,750;
AM;BR-230;804,000;805,000;1,000;03/07/2023;-7,46490871;-64,2423603;50,000;
AM;BR-230;805,000;806,000;1,000;03/07/2023;-7,46490871;-64,2423603;42,500;
AM;BR-230;806,000;807,000;1,000;03/07/2023;-7,46490871;-64,2423603;62,500;
AM;BR-230;807,000;808,000;1,000;03/07/2023;-7,46490871;-64,2423603;62,500;
AM;BR-230;808,000;809,000;1,000;03/07/2023;-7,46490871;-64,2423603;60,000;
AM;BR-230;809,000;810,000;1,000;03/07/2023;-7,46490871;-64,2423603;62,500;
AM;BR-230;810,000;811,000;1,000;03/07/2023;-7,46490871;-64,2423603;47,500;
AM;BR-230;811,000;812,000;1,000;03/07/2023;-7,46490871;-64,2423603;23,750;
AM;BR-230;812,000;813,000;1,000;03/07/2023;-7,46490871;-64,2423603;38,750;
AM;BR-230;813,000;814,000;1,000;03/07/2023;-7,46490871;-64,2423603;38,750;
AM;BR-230;814,000;815,000;1,000;03/07/2023;-7,46490871;-64,2423603;38,750;
AM;BR-230;815,000;816,300;1,300;03/07/2023;-7,46490871;-64,2423603;36,250;
AM;BR-230;609,200;608,000;1,200;05/07/2023;0;0;66,250;
AM;BR-230;608,000;607,000;1,000;05/07/2023;0;0;50,000;
AM;BR-230;607,000;606,000;1,000;05/07/2023;0;0;62,500;
AM;BR-230;606,000;605,000;1,000;05/07/2023;0;0;75,000;
AM;BR-230;605,000;604,000;1,000;05/07/2023;0;0;62,500;
AM;BR-230;604,000;603,000;1,000;05/07/2023;0;0;50,000;
AM;BR-230;603,000;602,000;1,000;05/07/2023;0;0;68,750;
AM;BR-230;602,000;601,000;1,000;05/07/2023;0;0;62,500;
AM;BR-230;601,000;600,000;1,000;05/07/2023;0;0;71,250;
AM;BR-230;600,000;599,000;1,000;05/07/2023;0;0;75,000;
AM;BR-230;599,000;598,000;1,000;05/07/2023;0;0;75,000;
AM;BR-230;598,000;597,000;1,000;05/07/2023;0;0;85,000;
AM;BR-230;597,000;596,000;1,000;05/07/2023;0;0;82,500;
AM;BR-230;596,000;595,000;1,000;05/07/2023;0;0;75,000;
AM;BR-230;595,000;594,000;1,000;05/07/2023;0;0;82,500;
AM;BR-230;594,000;593,000;1,000;05/07/2023;0;0;75,000;
AM;BR-230;593,000;592,000;1,000;05/07/2023;0;0;85,000;
AM;BR-230;592,000;591,000;1,000;05/07/2023;0;0;75,000;
AM;BR-230;591,000;590,000;1,000;05/07/2023;0;0;85,000;
AM;BR-230;590,000;589,000;1,000;05/07/2023;0;0;85,000;
AM;BR-230;589,000;588,000;1,000;05/07/2023;0;0;85,000;
AM;BR-230;588,000;587,000;1,000;05/07/2023;0;0;86,250;
AM;BR-230;587,000;586,000;1,000;05/07/2023;0;0;77,500;
AM;BR-230;586,000;585,000;1,000;05/07/2023;0;0;82,500;
AM;BR-230;585,000;584,000;1,000;05/07/2023;0;0;85,000;
AM;BR-230;584,000;583,000;1,000;05/07/2023;0;0;93,750;
AM;BR-230;583,000;582,000;1,000;05/07/2023;0;0;88,750;
AM;BR-230;582,000;581,000;1,000;05/07/2023;0;0;96,250;
AM;BR-230;581,000;580,000;1,000;05/07/2023;0;0;85,000;
AM;BR-230;580,000;579,000;1,000;05/07/2023;0;0;75,000;
AM;BR-230;579,000;578,000;1,000;05/07/2023;0;0;5,000;
AM;BR-230;578,000;577,000;1,000;05/07/2023;0;0;5,000;
AM;BR-230;577,000;576,000;1,000;05/07/2023;0;0;7,500;
AM;BR-230;576,000;575,000;1,000;05/07/2023;0;0;7,500;
AM;BR-230;575,000;574,000;1,000;05/07/2023;0;0;5,000;
AM;BR-230;574,000;573,000;1,000;05/07/2023;0;0;5,000;
AM;BR-230;573,000;572,000;1,000;05/07/2023;0;0;5,000;
AM;BR-230;572,000;571,000;1,000;05/07/2023;0;0;7,500;
AM;BR-230;571,000;570,000;1,000;05/07/2023;0;0;7,500;
AM;BR-230;570,000;569,000;1,000;05/07/2023;0;0;7,500;
AM;BR-230;569,000;568,000;1,000;05/07/2023;0;0;10,000;
AM;BR-230;568,000;567,000;1,000;05/07/2023;0;0;8,750;
AM;BR-230;567,000;566,000;1,000;05/07/2023;0;0;8,750;
AM;BR-230;566,000;565,000;1,000;05/07/2023;0;0;10,000;
AM;BR-230;565,000;564,000;1,000;05/07/2023;0;0;32,500;
AM;BR-230;564,000;563,000;1,000;05/07/2023;0;0;32,500;
AM;BR-230;563,000;562,000;1,000;05/07/2023;0;0;40,000;
AM;BR-230;562,000;561,000;1,000;05/07/2023;0;0;40,000;
AM;BR-230;561,000;560,000;1,000;05/07/2023;0;0;32,500;
AM;BR-230;560,000;559,000;1,000;05/07/2023;0;0;32,500;
AM;BR-230;559,000;558,000;1,000;05/07/2023;0;0;32,500;
AM;BR-230;558,000;557,000;1,000;05/07/2023;0;0;32,500;
AM;BR-230;557,000;556,000;1,000;05/07/2023;0;0;32,500;
AM;BR-230;556,000;555,000;1,000;05/07/2023;0;0;32,500;
AM;BR-230;555,000;554,000;1,000;05/07/2023;0;0;40,000;
AM;BR-230;554,000;553,000;1,000;05/07/2023;0;0;40,000;
AM;BR-230;553,000;552,000;1,000;05/07/2023;0;0;40,000;
AM;BR-230;552,000;551,000;1,000;05/07/2023;0;0;40,000;
AM;BR-230;551,000;550,000;1,000;05/07/2023;0;0;40,000;
AM;BR-230;550,000;549,000;1,000;05/07/2023;0;0;40,000;
AM;BR-230;549,000;548,000;1,000;05/07/2023;0;0;40,000;
AM;BR-230;548,000;547,000;1,000;05/07/2023;0;0;32,500;
AM;BR-230;547,000;546,000;1,000;05/07/2023;0;0;40,000;
AM;BR-230;546,000;545,000;1,000;05/07/2023;0;0;40,000;
AM;BR-230;545,000;544,000;1,000;05/07/2023;0;0;32,500;
AM;BR-230;544,000;543,000;1,000;05/07/2023;0;0;52,500;
AM;BR-230;543,000;542,000;1,000;05/07/2023;0;0;52,500;
AM;BR-230;542,000;541,000;1,000;05/07/2023;0;0;40,000;
AM;BR-230;541,000;540,000;1,000;05/07/2023;0;0;52,500;
AM;BR-230;540,000;539,000;1,000;05/07/2023;0;0;40,000;
AM;BR-230;539,000;538,000;1,000;05/07/2023;0;0;40,000;
AM;BR-230;538,000;537,000;1,000;05/07/2023;0;0;40,000;
AM;BR-230;537,000;536,000;1,000;05/07/2023;0;0;40,000;
AM;BR-230;536,000;535,000;1,000;05/07/2023;0;0;40,000;
AM;BR-230;535,000;534,000;1,000;05/07/2023;0;0;40,000;
AM;BR-230;534,000;533,000;1,000;05/07/2023;0;0;32,500;
AM;BR-230;533,000;532,000;1,000;05/07/2023;0;0;52,500;
AM;BR-230;532,000;531,000;1,000;05/07/2023;0;0;40,000;
AM;BR-230;531,000;530,000;1,000;05/07/2023;0;0;40,000;
AM;BR-230;530,000;529,000;1,000;05/07/2023;0;0;52,500;
AM;BR-230;529,000;528,000;1,000;05/07/2023;0;0;40,000;
AM;BR-230;528,000;527,000;1,000;05/07/2023;0;0;40,000;
AM;BR-230;527,000;526,000;1,000;05/07/2023;0;0;52,500;
AM;BR-230;526,000;525,000;1,000;05/07/2023;0;0;40,000;
AM;BR-230;525,000;524,000;1,000;05/07/2023;0;0;52,500;
AM;BR-230;524,000;523,000;1,000;05/07/2023;0;0;40,000;
AM;BR-230;523,000;522,000;1,000;05/07/2023;0;0;40,000;
AM;BR-230;522,000;521,000;1,000;05/07/2023;0;0;40,000;
AM;BR-230;521,000;520,000;1,000;05/07/2023;0;0;40,000;
AM;BR-230;520,000;519,000;1,000;05/07/2023;0;0;52,500;
AM;BR-230;519,000;518,000;1,000;05/07/2023;0;0;40,000;
AM;BR-230;518,000;517,000;1,000;05/07/2023;0;0;40,000;
AM;BR-230;517,000;516,300;0,700;05/07/2023;0;0;40,000;
MG;BR-265;577,800;578,000;0,200;05/07/2023;-21,0195926;-46,5363459;72,500;
MG;BR-265;578,000;579,000;1,000;05/07/2023;-21,0191531;-46,5373614;83,750;
MG;BR-265;579,000;580,000;1,000;05/07/2023;-21,0153424;-46,545279;88,750;
MG;BR-265;580,000;581,000;1,000;05/07/2023;-21,0112326;-46,5479272;88,750;
MG;BR-265;581,000;582,000;1,000;05/07/2023;-21,008732;-46,5583242;78,750;
MG;BR-265;582,000;582,450;0,450;05/07/2023;-21,0049672;-46,5671529;65,000;
MG;BR-265;585,500;586,000;0,500;05/07/2023;-21,0188409;-46,5939696;65,000;
MG;BR-265;586,000;586,800;0,800;05/07/2023;-21,0188409;-46,5939696;88,750;
MG;BR-146;352,420;353,300;0,880;05/07/2023;-21,0206131;-46,5352959;76,250;
MG;BR-265;564,240;564,650;0,410;05/07/2023;-20,9401443;-46,4630046;73,750;
MG;BR-265;559,350;559,750;0,400;05/07/2023;-20,9018902;-46,4418256;81,250;
MG;BR-265;550,600;551,450;0,850;05/07/2023;-20,8785617;-46,3697985;81,250;
RS;BR-470;88,400;89,000;0,600;07/07/2023;-28,2969017;-51,4617576;45,000;
RS;BR-470;89,000;90,000;1,000;07/07/2023;-28,2969017;-51,4617576;55,000;
RS;BR-470;90,000;91,000;1,000;07/07/2023;-28,3029066;-51,473462;68,750;
RS;BR-470;91,000;92,000;1,000;07/07/2023;-28,3029066;-51,473462;51,250;
RS;BR-470;92,000;93,000;1,000;07/07/2023;-28,3029066;-51,473462;48,750;
RS;BR-470;93,000;94,000;1,000;07/07/2023;-28,3029066;-51,473462;55,000;
RS;BR-470;94,000;95,000;1,000;07/07/2023;-28,3029066;-51,473462;56,250;
RS;BR-470;95,000;96,000;1,000;07/07/2023;-28,3029066;-51,473462;52,500;
RS;BR-470;96,000;97,000;1,000;07/07/2023;-28,3029066;-51,473462;48,750;
RS;BR-470;97,000;98,000;1,000;07/07/2023;-28,2978734;-51,3914329;51,250;
RS;BR-470;98,000;99,000;1,000;07/07/2023;-28,2978734;-51,3914329;43,750;
RS;BR-470;99,000;100,000;1,000;07/07/2023;-28,5971311;-51,6203846;43,750;
