;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
UF;Rodovia;km inicial;km final;Extensão (km);Data;Latitude;Longitude;Observação;ICMNP
BA;BR-030;262,000;261,000;1,0000;05/07/2022;-14,2137716;-43,8950066;;50,000
BA;BR-030;261,000;260,000;1,0000;05/07/2022;-14,2090266;-43,94659;;57,500
BA;BR-030;260,000;259,000;1,0000;05/07/2022;-14,2090266;-43,94659;;57,500
BA;BR-030;259,000;258,000;1,0000;05/07/2022;-14,2090266;-43,94659;;50,000
BA;BR-030;258,000;257,000;1,0000;05/07/2022;-14,2090266;-43,94659;;50,000
BA;BR-030;257,000;256,000;1,0000;05/07/2022;-14,2090266;-43,94659;;66,250
BA;BR-030;256,000;255,000;1,0000;05/07/2022;-14,2090266;-43,94659;;46,250
BA;BR-030;255,000;254,000;1,0000;05/07/2022;-14,2090266;-43,94659;;46,250
BA;BR-030;254,000;253,000;1,0000;05/07/2022;-14,2090266;-43,94659;;47,500
BA;BR-030;253,000;252,000;1,0000;05/07/2022;-14,2090266;-43,94659;;35,000
BA;BR-030;252,000;251,000;1,0000;05/07/2022;-14,2090266;-43,94659;;20,000
BA;BR-030;251,000;250,000;1,0000;05/07/2022;-14,20859;-44,0384366;;27,500
BA;BR-030;250,000;249,000;1,0000;05/07/2022;-14,20859;-44,0384366;;42,500
BA;BR-030;249,000;248,000;1,0000;05/07/2022;-14,20859;-44,0384366;;46,250
BA;BR-030;248,000;247,000;1,0000;05/07/2022;-14,20859;-44,0384366;;42,500
BA;BR-030;247,000;246,000;1,0000;05/07/2022;-14,20859;-44,0384366;;53,750
BA;BR-030;246,000;245,000;1,0000;05/07/2022;-14,20859;-44,0384366;;50,000
BA;BR-030;245,000;244,000;1,0000;05/07/2022;-14,20859;-44,0384366;;42,500
BA;BR-030;244,000;243,000;1,0000;05/07/2022;-14,20859;-44,0384366;;42,500
BA;BR-030;243,000;242,000;1,0000;05/07/2022;-14,20859;-44,0384366;;35,000
BA;BR-030;242,000;241,000;1,0000;05/07/2022;-14,2170766;-44,1287783;;35,000
BA;BR-030;241,000;240,000;1,0000;05/07/2022;-14,2170766;-44,1287783;;27,500
BA;BR-030;240,000;239,000;1,0000;05/07/2022;-14,2170766;-44,1287783;;27,500
BA;BR-030;239,000;238,000;1,0000;05/07/2022;-14,2170766;-44,1287783;;35,000
BA;BR-030;238,400;237,000;1,4000;05/07/2022;-14,2305883;-44,1535333;;47,500
BA;BR-030;237,000;236,000;1,0000;05/07/2022;-14,2305883;-44,1535333;;66,250
BA;BR-030;236,000;235,000;1,0000;05/07/2022;-14,2305883;-44,1535333;;50,000
BA;BR-030;235,000;234,000;1,0000;05/07/2022;-14,2305883;-44,1535333;;53,750
BA;BR-030;234,000;233,000;1,0000;05/07/2022;-14,2305883;-44,1535333;;20,000
BA;BR-030;233,000;232,000;1,0000;05/07/2022;-14,2305883;-44,1535333;;50,000
BA;BR-030;232,000;231,000;1,0000;05/07/2022;-14,2305883;-44,1535333;;47,500
BA;BR-030;231,000;230,000;1,0000;05/07/2022;-14,2305883;-44,1535333;;42,500
BA;BR-030;230,000;229,000;1,0000;05/07/2022;-14,2305883;-44,1535333;;27,500
BA;BR-030;229,000;228,000;1,0000;05/07/2022;-14,2071333;-44,2233766;;52,500
BA;BR-030;228,000;227,000;1,0000;05/07/2022;-14,2071333;-44,2233766;;35,000
BA;BR-030;227,000;226,000;1,0000;05/07/2022;-14,2049616;-44,23949;;42,500
BA;BR-030;226,000;225,000;1,0000;05/07/2022;-14,2049616;-44,23949;;42,500
BA;BR-030;225,000;224,000;1,0000;05/07/2022;-14,2049616;-44,23949;;55,000
BA;BR-030;224,000;223,000;1,0000;05/07/2022;-14,2049616;-44,23949;;17,500
BA;BR-030;223,000;222,000;1,0000;05/07/2022;-14,2049616;-44,23949;;27,500
